Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
脊椎疼痛與背痛,2,"103年第6題, 106年第1次第21題, 107年第1次第14題, 107年第3次第14題, 108年第1次第46題, 108年第2次第46題, 111年第7題, 112年第41題, 114年第26題","A patient suffered from chronic low back pain with radiating to buttock, poster lateral thigh and lateral aspect of lower leg. Muscle weakness was observed in the extensor hallucis longus and tibialis anterior. Which lumbosacral root compression is the most likely?",L2 root compression,L3 root compression,L4 root compression,L5 root compression,S1 root compression,D,L5神經根壓迫完全符合本病例的臨床表現，這是正確答案。L5神經根支配拇長伸肌(extensor hallucis longus)和脛前肌(tibialis anterior)，負責足背屈和拇趾背屈功能。L5神經根的感覺分布區域(dermatome)包括臀部、大腿後外側、小腿外側及足背，與患者的疼痛放射模式完全一致。L5神經根壓迫是腰椎間盤突出症中最常見的類型，典型症狀包括腰痛合併坐骨神經痛、足背屈無力、拇趾背屈無力等。
脊椎疼痛與背痛,3,"103年第13題, 104年第13題",When will you make a surgical suggestion as you manage a patient with neck or low back pain?,Intractable symptoms for one week,No changes in physical findings and no response to conservative management for two weeks,Obvious radicular sign without findings of correctable anatomical problem for more than one month,No improvement with progressive neurologic deficit in two weeks,Mild improvement for more than one month but less than three months,D,這是正確答案。進行性神經學缺損是手術的緊急適應症，即使在保守治療的早期階段（兩週內）也應該考慮手術介入。進行性神經學缺損表示神經壓迫持續惡化，可能導致永久性神經損傷。常見的進行性缺損包括肌力持續下降、感覺功能惡化、反射異常加重等。這種情況下，及時的外科減壓可以防止不可逆的神經損傷，改善長期預後。
脊椎疼痛與背痛,4,103年第27題,"A patient had chronic pain over the neck, medial scapula, anterior chest, medial aspect of arm and forearm. Horner's syndrome was also noted. Which root compression is the most likely?",C5 root compression,C6 root compression,C7 root compression,C8 root compression,T1 root compression,E,T1神經根壓迫是正確答案。T1皮節分布於前胸、上臂內側和前臂內側，完全符合題目描述的疼痛分布模式。T1神經根的解剖位置靠近胸廓入口，壓迫時容易同時影響附近的stellate ganglion(星狀神經節)或上胸部交感神經鏈，導致同側Horner's syndrome的出現。這種組合症狀(T1皮節疼痛加上Horner's syndrome)是胸廓出口症候群或T1神經根壓迫的典型表現。T1神經根病變還可能伴隨手部內側肌群無力和感覺異常，形成完整的臨床症候群。
脊椎疼痛與背痛,5,103年第40題,"The current guidelines on the management of acute low back pain in primary care include the following, EXCEPT:",Reassure patients because the prognosis is most favorable,Advise or encourage complete bed rest,Prescribe analgesics medication if necessary,Encourage to stay active,Consider spinal manipulation (chiropractic) for pain relief,B,此選項錯誤，為正確答案。建議完全臥床休息已不符合現代急性下背痛處置指引。研究證實長期臥床休息會導致肌肉萎縮、骨質流失、心肺功能下降，並可能延緩復原過程。現代指引建議患者應盡早恢復日常活動，避免超過1-2天的臥床休息，以促進組織修復和防止慢性化。
脊椎疼痛與背痛,6,103年第45題,"A 26-year-old weight lifter felt a sharp pain in the neck, radiating to the dorsal aspect of the forearm during his workout. Over the next few days he noted progressive numbness of the thumb and index finger. He also complained of decreased ability to perform bicep curls. On examination by his primary care doctor, a markedly diminished biceps reflex was found. Which of the following is the most likely cause of the patient's problem?",Facture C5 vertebra,C5-C6 disc protrusion,Facet syndrome at C5-6,Compression of the C5 nerve root by an osteophyte,,B,C5-C6椎間盤突出是最可能的原因。患者的症狀包括拇指和食指麻木、二頭肌無力、二頭肌反射明顯減弱，這些都符合C6神經根受壓的典型表現。椎間盤突出是年輕運動員最常見的頸椎神經根病變原因，特別是在重量訓練時突然發生的急性症狀。C5-C6是頸椎最容易發生椎間盤突出的部位之一。
脊椎疼痛與背痛,7,105年第5題,"Examination of a patient with neck and shoulder pain reveals referred pain in the lateral aspect of the forearm, with weakness and dysfunction of the biceps and brachioradialis, and hypoesthesia in the lateral aspect of the forearm and thumb. The patient most likely has a lesion of which nerve root?",C4,C5,C6,C7,,C,患者的症狀符合C6神經根病變的典型表現。C6神經根支配二頭肌和肱橈肌，其感覺分布包括前臂外側和拇指區域。當C6神經根受損時，會出現這些肌肉的無力、相應區域的感覺減退，以及可能的二頭肌反射減弱。前臂外側疼痛是C6皮節分布的特徵性表現。
脊椎疼痛與背痛,8,105年第21題,Which of the following activities will exacerbate pain the most in an elderly patient with severe spinal stenosis?,Walking uphill,Walking downhill,Riding a bicycle,Bending forward Standing,,B,下坡行走會最大程度地加重脊椎狹窄患者的疼痛。下坡行走時，腰椎會處於相對伸展的姿勢，這會進一步縮小已經狹窄的椎管空間，增加對神經結構的壓迫。脊椎狹窄的典型症狀是神經性跛行，患者在行走時出現下肢疼痛和麻木，而伸展姿勢會使症狀惡化。相反地，前彎姿勢（如騎自行車或前傾行走）會擴大椎管空間，緩解症狀。
脊椎疼痛與背痛,9,105年第48題,"All if the following are red flags in patients with low back pain, EXCEPT:",History of prolonged corticosteroid use,Saddle anesthesia,Age of 36 years,Urine retention,Bowel incontinence,C,36歲年齡本身不是紅旗警示徵象，這是正確答案。年齡相關的紅旗警示徵象是指小於20歲或大於50歲。小於20歲的下背痛需要考慮脊椎側彎、感染或腫瘤等可能性；大於50歲則需要警惕惡性腫瘤、骨質疏鬆性骨折等風險增加的疾病。36歲正值中年，是非特異性下背痛的常見發病年齡，多與生活方式、工作姿勢不良或肌肉骨骼退化有關。這個年齡層的下背痛通常是良性的機械性疼痛，除非伴隨其他紅旗警示徵象，否則不需要特殊檢查。
脊椎疼痛與背痛,10,"108年第1次第30題, 108年第2次第30題",下列有關慢性下背痛之保守治療效果，針對短週期緩解疼痛效果而言，依系統性回顧，下列何者最差？,Acupuncture,NSAIDs analgesics,Opioids analgesics,Low-level Laser therapy,TENS (Transcutaneous Electrical Nerve Stimulation),E,經皮電神經刺激(TENS)是正確答案，其短週期疼痛緩解效果在所列選項中最差。TENS的作用原理基於閘門控制理論，透過電刺激粗纖維神經來抑制疼痛訊號傳遞。然而，多項高品質的系統性回顧和隨機對照試驗顯示，TENS對慢性下背痛的療效證據薄弱，特別是在短期疼痛緩解方面效果有限。許多研究發現TENS與安慰劑治療相比沒有顯著差異，因此在實證醫學證據上支持度最低。
脊椎疼痛與背痛,11,110年第31題,epidural steroid injection 治療邏輯是針對椎間盤 nucleus pulposus 所釋放的發炎物質，下列數種發炎物質何者與椎間盤突出最沒有直接相關性？,phospholipase A2,caspase,"interleukins ( 1α, 1β, 6)",tumor necrosis factor,nitric oxide,B,Caspase是一群參與細胞凋亡(apoptosis)的蛋白酶，主要功能是執行程序性細胞死亡。雖然在慢性神經病變或神經退化過程中可能參與，但在椎間盤突出的急性發炎反應中並非主要角色。椎間盤突出主要是機械性壓迫合併化學性發炎反應，而非細胞凋亡過程，因此caspase與椎間盤突出最沒有直接相關性，這是正確答案。
脊椎疼痛與背痛,12,110年第35題,Which of the following statement is true?,The most common cause of low back pain is disc herniation.,The most common cause of low back pain is lumbar spinal stenosis.,The most common cause of low back pain is spondylolisthesis.,The most common cause of low back pain is nonspecific.,The most common cause of low back pain is facet joint pain.,D,非特異性下背痛(nonspecific low back pain)是下背痛最常見的類型，約佔85-90%。這類患者經過適當的評估後，無法找到明確的結構性病變或特定疾病。疼痛可能源自多種結構，包括肌肉、筋膜、韌帶、椎間盤、小面關節等的組合。診斷主要基於排除特異性病因和紅旗症狀(red flags)後的臨床判斷。
脊椎疼痛與背痛,13,110年第37題,Which of the followings clinical indicators with its suspected pathology for spinal pain is suggested to receive X-ray for first line test?,fracture due to severe trauma,aortic aneurysm with cardiovascular risk factors,weight loss due to tumor,"susecpted infection with fever, sweating",x-ray is not a first line test for the above causes of spinal pain,A,此選項正確。嚴重外傷導致的脊椎骨折懷疑是X光檢查的標準適應症。X光攝影能快速評估骨骼結構完整性，檢測骨折線、骨骼錯位等急性骨骼損傷。在急診或創傷情況下，X光檢查具有快速、方便、成本效益高的優勢，能在短時間內提供重要的初步診斷資訊。對於脊椎壓迫性骨折、橫突骨折等創傷性骨骼病變，X光檢查的敏感性和特異性都相當良好，是創傷後脊椎疼痛評估的第一線影像學工具。
脊椎疼痛與背痛,14,110年第46題,Which of the folllowing medication has a greater and long term effect for palliation of pain than placebo in treating chronic low back pain?,bezodiazepaine,antidepressants,pregabalin,opioids,none of the above medications can offter a greater and lon-term analgesic effect,D,鴉片類藥物(opioids)透過與中樞和周邊的鴉片受體結合，能有效阻斷疼痛傳遞，對於慢性下背痛確實比安慰劑具有更好且較長期的止痛效果。多項系統性回顧和臨床試驗證實其有效性。然而，需要在嚴格的風險評估和監控下使用，包括評估成癮風險、定期追蹤療效和副作用，並搭配其他非藥物治療。
脊椎疼痛與背痛,15,110年第49題,Which of the following diagnosis due to failed back surgery is not able to get evident diagnostic support from MRI?,lateral canal stenosis,painful disk,recurrent herniated nucleus pulposus,SI joint pain,MRI can help differential diagnois of all of the above causes of failed back surgery.,D,薦腸關節疼痛 (SI joint pain) 是 MRI 診斷能力相對有限的病因。薦腸關節的解剖結構複雜，關節間隙狹小且不規則，MRI 很難清楚顯示關節內的細微病變。更重要的是，薦腸關節疼痛主要與功能性異常和生物力學改變有關，而非明顯的結構性病變，因此 MRI 無法提供明確的診斷支持。診斷通常需要依賴臨床症狀、理學檢查和診斷性注射。此為正確答案。
脊椎疼痛與背痛,16,"111年第29題, 114年第18題",在考科藍文獻回顧(Cochrane review)治療下背痛實證方面，以下敘述何者有誤?,Paracetamol 對於急性下背痛與安慰劑相比，並沒有得到更好的結果,長期使用 opioids 對於慢性下背痛是安全並且有效的,Radiofrequency denervation 目前沒有高品質的證據顯示對於慢性下背痛病人有好的治療效果,針灸相對沒治療或是其他中醫治療，對於下背痛的疼痛改善是比較有效的,合併整脊療法是稍微能夠改善急性或亞急性下背疼痛,B,根據考科藍文獻回顧，長期使用類鴉片藥物治療慢性下背痛並非安全且有效的選擇。長期使用opioids存在耐受性、依賴性、內分泌功能異常等風險，且對功能改善的長期效益有限。目前證據顯示opioids僅適用於其他治療無效的嚴重慢性疼痛短期使用，並需嚴密監控副作用和依賴風險。
脊椎疼痛與背痛,17,112年第25題,關於 referred pain 和 radicular pain 的敘述，何者有誤?,"Radicular pain is lancinating in quality, like an electric shock, and travels into the lower limb along a narrow band","Somatic referred pain is perceived as a dull, aching sensation; it radiates slowly over relatively wide areas","The causes of somatic referred pain and radicular pain are quite different, and their mechanisms are different",The mechanism of radicular pain is irritation of the dorsal root ganglion of a spinal nerve,"This is correct that somatic referred pain does not extend below the knee and that, therefore, pain below the knee must be radicular in origin.",E,此敘述錯誤，為正確答案。認為軀體牽涉痛不會延伸到膝蓋以下，因此膝蓋以下的疼痛必定是神經根痛，這個說法是不正確的。軀體牽涉痛的分布範圍可能很廣泛，某些內臟器官的牽涉痛確實可能延伸到膝蓋以下。例如，髖關節病變可能引起大腿甚至膝蓋以下的牽涉痛。因此，不能僅以疼痛位置來判斷是牽涉痛還是神經根痛，需要綜合考慮疼痛性質、分布模式和其他臨床表現。
脊椎疼痛與背痛,18,112年第30題,急性下背痛有許多可能的診斷，下列敘述何者有誤?,背痛可能是引起腹膜後炎症的內臟疾病（如胰腺炎）的一個特徵，但在這些疾病中，背痛通常是腹痛的附加症狀,動脈瘤可能以背痛為唯一症狀。 事實上，背痛是大部分因主動脈瘤破裂而突然死亡的患者的唯一症狀,醫學影像學上的脊椎退行性變化、脊椎前移和椎弓峽部骨折，與腰痛在統計學上或臨床上有顯著性相關。因此，這些情況都是診斷疼痛的原因,腰椎感染通常在發病時是很難發現，疼痛可能是唯一的特徵,急性腰痛的病因經常不明。造成這種情況的主要原因是常規的檢查，例如醫學成像，無法確定骨折、惡性腫瘤或感染以外的背痛原因,C,此選項錯誤，這正是答案所在。大量研究顯示，影像學上的退行性變化(degenerative changes)、脊椎滑脫(spondylolisthesis)和峽部骨折(pars defects)在無症狀人群中的出現率很高，與有症狀患者無顯著差異。因此，這些影像學發現與腰痛之間缺乏統計學和臨床相關性，不能單純基於這些影像學異常來診斷疼痛的原因。這是影像學解釋中的重要陷阱。
脊椎疼痛與背痛,19,112年第33題,"以下為 failed back surgery syndrome 常見的鑑別診斷與其常見症狀,下列何者配對有誤?",Lateral canal stenosis: relief with sitting,Painful discs: relief with sitting,Neuropathic pain: Leg pain Burning dysesthesia,Recurrent HNP: Vary with location. Leg pain > LBP,SI joint pain: Gluteal pain with referral to leg and groin,B,這是錯誤的配對。Painful discs（疼痛性椎間盤）患者坐姿時症狀通常會加重而非緩解。坐姿會顯著增加椎間盤內壓力，特別是在腰椎部位，壓力可增加至站立時的1.4-1.85倍。疼痛性椎間盤疾病患者通常在坐姿、前彎或咳嗽等增加椎間盤壓力的動作時症狀加劇，而在平躺或站立時症狀相對緩解。因此正確的敘述應該是painful discs患者坐姿時症狀加重。
脊椎疼痛與背痛,20,113年第38題,Vascular claudication 與 neurogenic claudication 在疼痛診斷中，常常造成判斷的困難，並影響病人檢查及治療方向甚鉅。以下是常用來幫助區分兩者的線索，何者較不正確？,若病人有 muscle atrophy 時，屬於 neurogenic claudication 的機會較大,若病人在站姿時，因腰部姿勢會產生症狀變化，則 neurogenic claudication 的機會較大,Vascular claudication 有較大可能有 skin trophic changes,騎腳踏車時產生下肢疼痛在 neurogenic pain 比較常見,Neurogenic claudication 的疼痛比較常見是由腰臀部往遠端擴張，而 vascular claudication 常常是在遠端較為疼痛,D,此選項不正確，為本題答案。騎腳踏車時產生下肢疼痛實際上在血管性跛行比較常見，而非神經性跛行。騎腳踏車是一種需要下肢肌肉持續用力的運動，會增加肌肉的氧氣需求。對於有血管供應不足的患者，這種持續性的肌肉運動會加重缺血症狀。相反地，神經性跛行患者騎腳踏車時採用前傾姿勢，反而可能因為腰椎前屈而緩解神經壓迫症狀，通常不會加重疼痛。
脊椎疼痛與背痛,21,113年第48題,關於 lumbar intervertebral disk，下列何者最不正確？,在一個 injured intervertebral disk of lumbar region，我們通常看到 internal stress 在 anterior anulus 比較高，故在影像上通常產生往後 bulging 的結果。,在 The grading of radial fissures in internal disk disruption 中，III 級裂隙是到達 anulus 的外三分之一。如果它們沿著 anulus 外環周向延伸變成 circumferential fissure，則成為 IV 級裂隙。,若在 posterior anulus 發現 High-intensity zones (HIZ)，表示在橫切面下已經出現一個 circumferential fissure。約有 20%至 30%的慢性腰痛患者會出現這種情況，並且與受影響產生的椎間盤疼痛相關。,MRI 中在不正常 disk 上方的 spongiosa of the vertebral body，常會看到 type 1 或 type 2 的 Modic lesions。,Internal disk disruption 的過度壓力會刺激外環內的 nociceptive receptor，退化的 nucleus 則會產生發炎物質，當它們穿過 fissures of anulus 到達外環的神經末梢時，可以刺激神經末梢產生化學傷害感受。如果新的神經纖維被 fissure 吸引而長到椎間盤中，這兩種機制都會被放大。,A,此選項是錯誤的敘述，故為正確答案。椎間盤受傷時，內部應力(internal stress)主要集中在髓核(nucleus pulposus)區域，而非前纖維環(anterior anulus)。髓核失水退化後無法有效分散壓力，導致纖維環承受異常應力。椎間盤突出(bulging)的方向主要取決於纖維環的薄弱處，通常發生在後外側區域，因為該處纖維環較薄且後縱韌帶覆蓋不完全。前纖維環通常較厚且有前縱韌帶保護，較不容易發生突出。
脊椎疼痛與背痛,22,114年第3題,關於鞭索傷害 (Whiplash injury) 造成的急性頸部疼痛，一般預後不錯。但根據統計，大約有多少比率造成慢性的頸部疼痛：,5%,10%,25%,50%,< 2%,C,此選項正確。根據多項大型流行病學研究和系統性回顧的結果，約25%的鞭索傷害患者會發展成慢性頸部疼痛（定義為症狀持續6個月以上）。這個數據來自於長期追蹤研究，具有重要的臨床意義，有助於醫師進行適當的預後說明和治療規劃。
脊椎疼痛與背痛,23,114年第4題,"急性下背痛需要很快鑑別診斷出可能的 red flag，因此需要 ""red flag check list""作為協助。下列哪一項關於 check list 敘述較不正確：",check list 內容，除了診斷參考，還可以作為急性背痛癒後程度的預測,check list 內容，須包括感染、發燒、免疫功能,check list 內容，須包括外傷、手術、長期使用類固醇,check list 內容，須包括職業、興趣、旅遊史、接觸史,check list 內容，須包括腫瘤、體重變化、腫瘤治療史,A,此選項錯誤，因為red flag check list的主要功能是早期識別潛在的嚴重疾病（如cauda equina syndrome馬尾症候群、脊椎感染、腫瘤等），而非預測急性背痛的預後程度。預後評估需要考慮疼痛持續時間、功能障礙程度、心理社會因素等多重面向，這些並非red flag篩檢的範圍。Red flag check list是診斷性工具，用於風險分層和決定是否需要緊急處置。
脊椎疼痛與背痛,24,114年第6題,關於腰椎盤因性背痛(discogenic back pain)，以下的敘述何者較正確？,診斷標準中，MRI 影像必須出現椎間盤的 HIZ (high intensity zone),腰椎 CT 電腦斷層出現椎盤上下椎體在 T1WI 灰黑色，T2WI 出現亮白色，代表椎體水腫，定義為 Modic Type 1 病變,盤因性疼痛病人，一般不會出現慢性背痛加放射性下肢痛,根據國際脊椎介入學會 2013 年的定義，椎盤注射誘發的再現性疼痛 (concordant pain)，盤內壓力必須達到大於 20 psi (0.14 kPa) 以上,目前研究顯示，椎盤內診斷性注射的效度(validity)不高，容易出現偽陽性,B,這是正確答案。Modic Type 1病變確實代表椎體終板的急性炎症和水腫變化，在MRI影像學上表現為T1加權影像的低信號(灰黑色)和T2加權影像的高信號(亮白色)。這種變化反映了椎體終板的血管化、發炎細胞浸潤和骨髓水腫，是盤因性背痛的重要影像學指標，常與急性疼痛症狀相關聯。
脊椎疼痛與背痛,25,114年第7題,對慢性下背痛進行脊椎融合手術的早期研究，雖然宣稱具有高成功率，但一直具有爭議。且近年來不同的研究，往往顯示不一樣的結論。可能的原因，下列何者比較正確？,早期研究，往往不是隨機對照型研究 (RCT study),對結果的呈現，採用定性方式 (例如：很好、好、普通、差)，而非定量的數據,缺少術前的基礎數據做比較,手術預後的數據分析，沒有根據病情的種類或狀態做分類,以上皆對,E,此選項正確。以上所有因素都是造成早期脊椎融合手術研究結果具有爭議性和不一致性的重要原因。現代循證醫學強調需要同時改善所有這些方法學問題，包括採用隨機對照試驗設計、使用標準化的定量評估工具、收集完整的基線資料，以及進行適當的分層分析，才能獲得可靠的研究結果。
脊椎疼痛與背痛,26,114年第32題,"The operational guidelines for disk stimulation are as following, except which?",Stimulating the disk must reproduce the patient's pain (known as a concordant response).,Stimulation of adjacent disks does not reproduce pain.,Pain is evoked at low thresholds of stimulation: less than 20 psi (0.14 kPa).,"The evoked pain is clinically significant, that is, rated as greater than 7 out of 10 on a numerical pain rating scale or its equivalent.",Disk stimulation differs in that its emphasis is more on morphologic changes of the disk than the patient's response to stimulation of the disk with injections of contrast medium or normal saline.,E,此選項錯誤，不屬於椎間盤刺激試驗的操作指引，因此是正確答案。椎間盤刺激試驗或椎間盤造影術的重點恰恰相反，它更強調患者對椎間盤刺激的疼痛反應，而非單純的形態學變化。雖然造影可以顯示椎間盤的解剖結構，但診斷椎間盤源性疼痛的關鍵在於疼痛的重現性和患者的症狀反應。許多人有椎間盤形態學異常但沒有疼痛症狀。
脊椎疼痛與背痛,27,114年第33題,Which of the statement about disk degeneration and internal disk disruption is wrong?,"According to The grading of radial fissures in internal disk disruption, Grade III fissures reach the outer third of the anulus and become grade IV fissures if they extend circumferentially around the outer anulus.",High-intensity zones (HIZ) in the posterior anulus represent the cross-sectional appearance of a circumferential fissure. They occur in 70% to 80% of patients with chronic low back pain and correlate with the affected disk being painful.,"As the nucleus degrades, it is no longer able to retain water and loses its hydrostatic properties. Pressures within the nucleus become irregular and reduced.","Degenerative Injury results in the liberation of phospholipases (PLAs), which in turn act on arachidonic acid to produce prostaglandins (PGs) and leukotrienes (LTs). Attracted macrophages release superoxide and cytokines such as tumor necrosis factor alpha (TNFα), interleukins (IL), and interferon (IFN).",Modic lesions occur in the spongiosa of the vertebral body above an abnormal disk,B,此敘述錯誤，為正確答案。HIZ實際上代表放射狀裂縫 (radial fissure) 而非環狀裂縫 (circumferential fissure) 的橫斷面影像。HIZ在慢性腰痛患者中的出現率約為27-59%，而非70-80%。雖然HIZ與椎間盤源性疼痛有相關性，但其敏感性和特異性並不如題目所述那麼高。
術後疼痛與區域麻醉,1,102年第3題,"Predictive factors for development of chronic pain include the following item? (1) moderate to severe preoperative pain, (2) an operation with risk of nerve damage, (3)the intensity of acute early postoperative pain (4) female patients.",all of the above are all risk factors,(1)+(2)+(3),(1)+(2),(4),none of them,B,此選項為正確答案。(1)術前中重度疼痛可能反映中樞敏感化的存在，增加術後疼痛持續化風險。(2)神經損傷風險手術可能導致神經病理性疼痛的發展。(3)術後早期急性疼痛強度與中樞敏感化程度相關，是慢性疼痛發展的重要預警信號。這三個因素都有充分的循證醫學證據支持，是臨床公認的慢性疼痛預測因子。
術後疼痛與區域麻醉,2,"102年第22題, 106年第1次第50題, 107年第1次第30題, 107年第3次第30題, 108年第1次第26題, 108年第2次第26題, 110年第25題","Effects on postoperative morbidity of regional anaesthetic or analgesic techniques compared with those of general anaesthesia and systemic postoperative analgesics may reduce the following complications, except:",pulmonary embolism,myocardial complications,pulmonary infectious complications,cerebral complications,other thromboembolic complications,D,這是正確答案。區域麻醉技術對於腦血管併發症（cerebral complications）並沒有明顯的保護效果。腦血管併發症如中風、腦缺血等主要與患者的基礎疾病狀態、年齡、腦血管病變程度、手術類型和持續時間等因素相關。麻醉方式本身對腦血管併發症的影響有限，因此區域麻醉相較於全身麻醉並不能顯著減少此類併發症的發生。
術後疼痛與區域麻醉,3,"103年第29題, 104年第41題","A parturient of heroin abuse history ask for painless labor, which one is improper?",Meperidine,Continuous epidural analgesia,Nitrous oxide,Butorphanol,Intrathecal morphine,A,在103年被認為不當，因Meperidine有特殊的藥物交互作用風險，且可能加重神經毒性。
術後疼痛與區域麻醉,4,"105年第23題, 110年第1題","Which of the following statement concerning ""postoperative pain"" is least likely?",Management of postoperative pain is challenging.,Management of postoperative pain is based on current understanding of the peripheral and central mechanisms involved in nociceptive transmission.,Chronic pain after surgery is an underdiagnosed condition,Advances in understanding the genetic profile of patients should help improve treatment of postoperative pain.,It is not essential that the neuronal response to surgery be blocked to achieve the task of optimal pain control.,E,這是錯誤的陳述，也是正確答案。現代疼痛醫學的核心原則是必須積極阻斷神經系統對手術創傷的反應才能達到最佳疼痛控制。預防性鎮痛的概念強調在傷害性刺激發生前就開始介入，阻斷周邊和中樞敏感化的發生。如果不阻斷神經反應，會導致疼痛訊號持續傳導和放大，不僅增加急性疼痛強度，還可能導致神經可塑性改變和慢性疼痛的發生。因此，阻斷神經反應是達到最佳疼痛控制的必要條件。
術後疼痛與區域麻醉,5,"105年第30題, 110年第6題",Which drug below is less likely an option for inhibiting central sensitization following acute postoperative pain:,NMDA antagonist,Opioid,COX2-inhibitor,Pre-emptive analgesia,Gabapentin,B,鴉片類藥物主要透過激活μ、δ、κ鴉片受體產生鎮痛效果，雖然能有效控制疼痛感受，但對中央敏感化的抑制能力相對有限。鴉片類藥物主要作用於下行抑制系統和脊髓後角的鴉片受體，但無法直接阻斷NMDA受體介導的中央敏感化過程。此外，長期使用鴉片類藥物甚至可能透過激活膠質細胞和促進興奮性神經傳遞物釋放，反而加劇中央敏感化現象，這就是所謂的鴉片誘發痛覺過敏(opioid-induced hyperalgesia)。
術後疼痛與區域麻醉,6,"108年第1次第34題, 108年第2次第34題, 109年第1次第45題, 109年第2次第45題, 110年第8題, 113年第14題, 114年第1題",Which of the following is not true about post-mastectomy pain?,Mastectomy may result in chronic pain in as many as half of those patients.,This pain often starts immediately or a few days postoperatively.,This pain is usually neuropathic in character.,It is suspected that the intercostobrachial nerve is often damaged during axillary node dissection,The incidence of phantom breast syndrome 1 year after surgery is less than 5%.,E,這是錯誤的陳述，也是正確答案。幻肢乳房症候群（phantom breast syndrome）是指患者在乳房切除後仍感覺到已切除乳房存在的現象，可能伴隨疼痛或非疼痛性感覺。根據多項研究，phantom breast syndrome在術後一年的發生率約為15-25%，有些研究甚至報告高達40%以上，遠遠超過題目所述的5%。這個症候群可能持續數年，對患者的心理和生活品質造成顯著影響，需要多學科團隊的介入治療。
術後疼痛與區域麻醉,7,111年第15題,有關局部麻醉藥，下列何處注射之後之系統性吸收最慢？,intravenous,Intercostal,Caudal,Epidural,Sciatic,E,坐骨神經阻斷(sciatic block)的注射部位通常在臀部深層肌肉組織中，此區域血管密度相對較低，血流量也較少。因此局部麻醉藥在此部位的系統性吸收是所有選項中最慢的，這使得坐骨神經阻斷在使用大劑量局部麻醉藥時相對安全，發生全身毒性反應的風險最低。這是正確答案。
術後疼痛與區域麻醉,8,112年第23題,關於椎管內止痛藥的敘述，下列何者有誤?,硬膜外止痛中使用的局部麻醉劑可能會阻斷交感神經並導致低血壓,使用單獨的鴉片類藥物(opioids)的硬膜外止痛不太可能導致低血壓,在停止硬膜外止痛約 2 小時後，如果有持續或加重的運動功能降低，並且應將脊柱血腫、脊柱膿腫和鞘內導管移位作為鑑別診斷的一部分,椎管內單劑量鴉片類藥物給藥，大約有 20%至 50%的患者可能會發生與其相關的噁心和嘔吐,與使用嗎啡進行硬膜外止痛相比，單獨使用芬太尼(fentanyl)或與局部麻醉劑合併使用無法降低噁心和嘔吐的發生率,E,此選項錯誤，因此是正確答案。芬太尼（fentanyl）相較於嗎啡確實能夠降低噁心嘔吐的發生率。芬太尼是高親脂性鴉片類藥物，在椎管內給藥後較快被吸收，較少擴散到腦幹的嘔吐中樞；而嗎啡為親水性，擴散範圍較廣，更容易引起噁心嘔吐。因此芬太尼單獨使用或與局部麻醉劑合併使用時，噁心嘔吐的發生率都比嗎啡低。
術後疼痛與區域麻醉,9,112年第26題,關於 neuraxial opioid 敘述，下列何者有誤?,與口服或注射鴉片類藥物相比，使用局部麻醉劑於硬膜外和周邊神經阻滯技術可提供更好的鎮痛效果,確定鴉片類藥物臨床藥理學的最重要因素之一是其脂溶性程度,親水性鴉片類藥物，例如 fentanyl，傾向於保留在 CSF 內並產生延遲作用與持續時間較長的止痛作用,與單獨使用局部麻醉劑或鴉片類藥物相比，局部麻醉劑-鴉片類藥物組合可提供更好的術後止痛效果,腎上腺素可改善硬膜外止痛，可增加感覺阻滯，一般以 2 至 5 μg/mL 的濃度給藥，但也與運動功能阻滯惡化有關,C,這個敘述有誤。Fentanyl是高度親脂性（lipophilic）而非親水性（hydrophilic）的鴉片類藥物。由於其高脂溶性，fentanyl會快速穿透脂質膜進入脊髓組織，迅速離開CSF，因此產生快速起效但持續時間較短的止痛作用。相反地，morphine等親水性鴉片類藥物會在CSF中保留較長時間，產生延遲作用但持續時間較長的止痛效果。Fentanyl的高脂溶性特性使其較少產生晚期呼吸抑制的風險。
術後疼痛與區域麻醉,10,"112年第45題, 114年第29題",以下那個選項不是發生 local anesthetics systemic toxicity (LAST)時的正確處理?,Suppress seizures: Benzodiazepines preferred,使用 amiodarone 做為第一線 antiarrhythmic,"避免使用 calcium channel blockers, beta blockers","若使用 lipid emulsion 解毒,病人回復 hemodynamic stable 即立即停止繼續給予 lipid emulsion",Maximum dose lipid emulsion 大約 12 mL/kg IV,D,這是錯誤的處理方式，也是本題的正確答案。當病人血行動力學恢復穩定後，不應立即停止 lipid emulsion，而應該持續給予維持劑量。因為局部麻醉劑可能會重新從脂肪組織分布到血液循環中，造成症狀復發。正確的做法是在血行動力學穩定後，繼續以較慢的速度給予 lipid emulsion 至少 15-30 分鐘，並密切監測病人狀況，確保不會有症狀復發的情況發生。
術後疼痛與區域麻醉,11,112年第50題,有關局部麻醉藥，下列何處注射之後之系統性吸收最快？,Tracheal,Caudal,Subcutaneous,Epidural,Brachial plexus,A,氣管黏膜注射是正確答案。氣管黏膜具有極為豐富的血管網絡和高度滲透性，缺乏皮下脂肪組織的阻隔作用。局部麻醉藥注射到此處後，能快速穿透薄層黏膜直接進入血液循環，造成最快的系統性吸收。臨床上進行支氣管鏡檢查或氣管插管時的表面麻醉，必須嚴格控制劑量以避免全身毒性反應。這種快速吸收特性使得氣管內給藥在所有局部注射途徑中具有最高的系統性生物可用度。
